Model,SNR,accuracy,precision,recall,f1,pd,pfa,nmse,auc
LSTM,-20.0,0.6595507346718978,0.7600953097567094,0.46626663589506884,0.5779812139417346,0.46626663589506884,0.14716516655127318,0.435995533514905,0.7016966326079951
LSTM,-18.0,0.6641923076923076,0.7646621202727837,0.4743846153846154,0.5855210064087348,0.4743846153846154,0.146,0.4345906790900916,0.7043589378698225
LSTM,-16.0,0.6645,0.7640449438202247,0.476,0.5865680837954406,0.476,0.147,0.43211007732742834,0.7079736360946746
LSTM,-14.0,0.6718461538461539,0.7773088381330685,0.4816923076923077,0.5947948328267477,0.4816923076923077,0.138,0.4279347432828327,0.7154126715976331
LSTM,-12.0,0.6754615384615384,0.7762839147286822,0.493,0.6030297327813323,0.493,0.14207692307692307,0.42712903926010815,0.7137184230769231
LSTM,-10.0,0.6851538461538461,0.7816522349637257,0.5138461538461538,0.6200686902441288,0.5138461538461538,0.14353846153846153,0.4206004507135821,0.7251982573964496
LSTM,-8.0,0.691923076923077,0.7864523536165328,0.5269230769230769,0.6310456011054814,0.5269230769230769,0.14307692307692307,0.41497588220843545,0.7329763579881657
LSTM,-6.0,0.6982557493611821,0.7949099322426045,0.5343850683257416,0.6391177252192399,0.5343850683257416,0.1378735696033774,0.41208977560913346,0.7306650407234807
GRU,-20.0,0.9790753134856527,0.996888215112104,0.9611508577582891,0.9786934043553188,0.9611508577582891,0.003000230786983614,0.032668108489314854,0.9969996271793317
GRU,-18.0,0.9911153846153846,0.9977391439931395,0.9844615384615385,0.9910558717621094,0.9844615384615385,0.0022307692307692306,0.014187544217694465,0.9990852899408285
GRU,-16.0,0.995576923076923,0.9977594066290659,0.9933846153846154,0.9955672050264041,0.9933846153846154,0.0022307692307692306,0.007386361217052883,0.9994206804733726
GRU,-14.0,0.9960384615384615,0.9976078401111197,0.9944615384615385,0.9960322046303787,0.9944615384615385,0.0023846153846153848,0.006994215251232613,0.9992518343195267
GRU,-12.0,0.9963076923076923,0.9979163451149868,0.9946923076923077,0.9963017181601048,0.9946923076923077,0.002076923076923077,0.006221412439081404,0.9996634615384615
GRU,-10.0,0.9963846153846154,0.9974560592044404,0.9953076923076923,0.9963807176959802,0.9953076923076923,0.0025384615384615385,0.0061667890710169135,0.9995238106508877
GRU,-8.0,0.9968076923076923,0.9978416711631851,0.9957692307692307,0.996804373772764,0.9957692307692307,0.0021538461538461538,0.005529280123614538,0.9996251715976332
GRU,-6.0,0.9955004999444507,0.9974347535132724,0.9935562715253861,0.9954917348472199,0.9935562715253861,0.002555271636484835,0.007303087923793601,0.9994186230292204
CNN,-20.0,0.9711516270482344,0.9965945025541231,0.9455342718670667,0.9703931785883467,0.9455342718670667,0.0032310177705977385,0.044703344185704354,0.9950850426983736
CNN,-18.0,0.9848461538461538,0.9967686002522068,0.9728461538461538,0.9846620990345687,0.9728461538461538,0.0031538461538461538,0.022891732628421518,0.9977181479289942
CNN,-16.0,0.9942692307692308,0.9983712091832777,0.9901538461538462,0.9942455489900746,0.9901538461538462,0.0016153846153846153,0.010413297281803395,0.998735704142012
CNN,-14.0,0.9947692307692307,0.9975247524752475,0.992,0.9947547053378587,0.992,0.0024615384615384616,0.00903228652186452,0.9993213431952662
CNN,-12.0,0.9960769230769231,0.9975312451782132,0.9946153846153846,0.996071180956783,0.9946153846153846,0.0024615384615384616,0.006857958442119589,0.9995841656804733
CNN,-10.0,0.9976153846153846,0.9979217980295566,0.9973076923076923,0.997614650661742,0.9973076923076923,0.002076923076923077,0.004633337682360308,0.9998178165680472
CNN,-8.0,0.998,0.9982299522856704,0.9977692307692307,0.997999538355005,0.9977692307692307,0.0017692307692307693,0.004104847916213668,0.9998324615384616
CNN,-6.0,0.9977780246639262,0.9979993331110371,0.9975558271303189,0.9977775308367597,0.9975558271303189,0.0019997778024663927,0.0044760436558444186,0.9998801994633266
PETCGDNN,-20.0,0.9704592660973921,0.9963476990504018,0.944380336948996,0.9696682464454977,0.944380336948996,0.0034618047542118624,0.0487906327303256,0.9928168002602958
PETCGDNN,-18.0,0.9836923076923076,0.9970750988142293,0.9702307692307692,0.9834697855750487,0.9702307692307692,0.0028461538461538463,0.026329474348183547,0.9969393402366865
PETCGDNN,-16.0,0.9924615384615385,0.9963560241897969,0.9885384615384616,0.9924318480191521,0.9885384615384616,0.0036153846153846154,0.01256535247646989,0.9982020828402367
PETCGDNN,-14.0,0.9946153846153846,0.9966785107369072,0.9925384615384616,0.9946041779079627,0.9925384615384616,0.0033076923076923075,0.00987760714457111,0.9978218875739646
PETCGDNN,-12.0,0.9944615384615385,0.9966774841600989,0.9922307692307692,0.9944491558091126,0.9922307692307692,0.0033076923076923075,0.010083972975407087,0.9979407633136095
PETCGDNN,-10.0,0.9952692307692308,0.9966828666203811,0.9938461538461538,0.9952624889265493,0.9938461538461538,0.0033076923076923075,0.009016968308803972,0.9978519171597634
PETCGDNN,-8.0,0.9948846153846154,0.9963737365943985,0.9933846153846154,0.9948769307807865,0.9933846153846154,0.0036153846153846154,0.009056565629367842,0.9978676301775148
PETCGDNN,-6.0,0.9938340184423953,0.9973148355336764,0.9903344072880791,0.9938123641228608,0.9903344072880791,0.0026663704032885236,0.01144265076726964,0.9963982078501294
