Model,SNR,accuracy,precision,recall,f1,pd,pfa,nmse,auc
LSTM,-10.0,0.9659626819766249,0.9974160206718347,0.9353796445880452,0.9654022509378908,0.9353796445880452,0.0024989587671803417,0.05782297688656906,0.9885334866530439
LSTM,-5.0,0.9953880088229397,0.9975490196078431,0.9930866205774705,0.9953128184226615,0.9930866205774705,0.0023734177215189874,0.007475198100389123,0.9988324341993503
LSTM,0.0,0.9977683100020288,0.9967186218211649,0.998766954377312,0.99774173680969,0.998766954377312,0.003205128205128205,0.003972782538376148,0.9991158891628991
LSTM,5.0,0.9977366255144033,0.9962962962962963,0.9991745769706974,0.9977333608077478,0.9991745769706974,0.0036930652441526466,0.003688728085303436,0.9998546957408408
LSTM,10.0,0.9974051896207585,0.9960458679319889,0.9988104678826328,0.9974262522272818,0.9988104678826328,0.0040192926045016075,0.004800041310767083,0.9992753479987047
LSTM,15.0,0.9978061428001596,0.9972222222222222,0.9984108065156932,0.9978161604129442,0.9984108065156932,0.002803364036844213,0.00385538654751557,0.9993320550413377
LSTM,20.0,0.9984547034962333,0.9972698907956318,0.9996090695856138,0.998438110113237,0.9996090695856138,0.002672775868652157,0.002443052847413931,0.9998329701665909
LSTM,25.0,0.9988340458608628,0.9980514419329696,0.9996096799375488,0.998829953198128,0.9996096799375488,0.001934984520123839,0.0033618148469393384,0.9996099820428602
GRU,-10.0,0.9641172852163216,0.9995657837603127,0.9297253634894992,0.9633814605566018,0.9297253634894992,0.00041649312786339027,0.0616518833207919,0.9897911243228621
GRU,-5.0,0.9961900942450371,0.9995904995904996,0.9926799511996747,0.9961232401550704,0.9926799511996747,0.00039556962025316455,0.007166308000786974,0.9989415013821611
GRU,0.0,0.9977683100020288,0.9979440789473685,0.9975339087546239,0.9977389516957862,0.9975339087546239,0.002003205128205128,0.0037950555352448847,0.999848998018696
GRU,5.0,0.9987654320987654,0.9983505154639175,0.9991745769706974,0.9987623762376238,0.9991745769706974,0.0016413623307345096,0.002497280403284663,0.999833696057699
GRU,10.0,0.998003992015968,0.9972288202692003,0.9988104678826328,0.9980190174326465,0.9988104678826328,0.0028135048231511255,0.003482279343614177,0.9992042693110914
GRU,15.0,0.9984044674910252,0.9980150853513299,0.99880810488677,0.9984114376489277,0.99880810488677,0.002002402883460152,0.002863419161816302,0.9996762105786381
GRU,20.0,0.9992273517481167,0.9984387197501952,1.0,0.99921875,1.0,0.0015273004963726614,0.0010118305514913992,1.0
GRU,25.0,0.9992226972405752,0.998829953198128,0.9996096799375488,0.999219664455716,0.9996096799375488,0.0011609907120743034,0.001831152385810387,0.9999172231446505
CNN,-10.0,0.9360262456428132,1.0,0.8739903069466882,0.9327586206896552,0.8739903069466882,0.0,0.10127640186266193,0.9861894512181584
CNN,-5.0,0.9929817525566473,1.0,0.9857665717771452,0.9928322752406308,0.9857665717771452,0.0,0.011736515281218227,0.9984162737245251
CNN,0.0,0.9983769527287483,1.0,0.9967118783394986,0.9983532317826266,0.9967118783394986,0.0,0.0031486687134428997,0.9995102727454761
CNN,5.0,0.9995884773662551,1.0,0.9991745769706974,0.999587118084228,0.9991745769706974,0.0,0.0013596363159631309,0.9997569794733177
CNN,10.0,0.9992015968063872,0.9996031746031746,0.9988104678826328,0.9992066640222134,0.9988104678826328,0.00040192926045016077,0.0020152857028319948,0.9993207682363051
CNN,15.0,0.998603909054647,0.9988076311605724,0.9984108065156932,0.9986091794158554,0.9984108065156932,0.0012014417300760913,0.0029210460903947594,0.9994025408957177
CNN,20.0,0.9998068379370292,1.0,0.9996090695856138,0.9998044965786901,0.9996090695856138,0.0,0.0008035805106025411,0.9998571514293365
CNN,25.0,0.9998056743101438,1.0,0.9996096799375488,0.999804801873902,0.9996096799375488,0.0,0.0009627225788100295,0.9996276552035828
PETCGDNN,-10.0,0.961041623949149,0.9986910994764397,0.9244749596122779,0.9601510067114094,0.9244749596122779,0.0012494793835901709,0.06526489873568911,0.9892684052619433
PETCGDNN,-5.0,0.9951874874674153,0.9979550102249489,0.9922732818218788,0.9951060358890701,0.9922732818218788,0.001977848101265823,0.008374151127035604,0.9987367188988011
PETCGDNN,0.0,0.996956786366403,0.9963054187192119,0.9975339087546239,0.9969192852741836,0.9975339087546239,0.003605769230769231,0.004935371642433501,0.999756124390064
PETCGDNN,5.0,0.9987654320987654,0.9983505154639175,0.9991745769706974,0.9987623762376238,0.9991745769706974,0.0016413623307345096,0.0029072494556534093,0.9999451298601776
PETCGDNN,10.0,0.998003992015968,0.9972288202692003,0.9988104678826328,0.9980190174326465,0.9988104678826328,0.0028135048231511255,0.0038956552623044525,0.9990944638945766
PETCGDNN,15.0,0.9966094934184284,0.9948535233570863,0.9984108065156932,0.9966289906801507,0.9984108065156932,0.005206247496996396,0.005439994996759433,0.999764516784464
PETCGDNN,20.0,0.9996136758740584,0.9996090695856138,0.9996090695856138,0.9996090695856138,0.9996090695856138,0.00038182512409316535,0.0013375151151200683,0.9999968653918663
PETCGDNN,25.0,0.998056743101438,0.9964980544747082,0.9996096799375488,0.9980514419329696,0.9996096799375488,0.00348297213622291,0.002801229968677572,0.9997290115355892
