Model,SNR,accuracy,precision,recall,f1,pd,pfa,nmse,auc
LSTM,-20.0,0.846028971028971,0.9391769107429182,0.7373279624034911,0.8261012646325984,0.7373279624034911,0.04699372315824248,0.21893024184432738,0.9399712271219538
LSTM,-18.0,0.838347272500312,0.937873357228196,0.7227150987612989,0.8163554715197353,0.7227150987612989,0.047331402565163425,0.23142458784707337,0.9350675330237401
LSTM,-16.0,0.8383855300619661,0.9372153545868576,0.724840657497484,0.8174595668211482,0.724840657497484,0.048411371237458194,0.22802301854403045,0.9352762135385873
LSTM,-14.0,0.833968426782798,0.9389304696821781,0.717863658981589,0.8136485406777271,0.717863658981589,0.047619047619047616,0.23382383371999022,0.9326015598267064
LSTM,-12.0,0.8373541176955751,0.9395213454075032,0.7203670028103819,0.8154767474501731,0.7203670028103819,0.046169039585219326,0.23233671923427632,0.9324533026915582
LSTM,-10.0,0.8469741959767471,0.939957264957265,0.7396385035729298,0.8278522700541049,0.7396385035729298,0.04677097203728362,0.22138697885145847,0.9335873347236612
LSTM,-8.0,0.8881496359527994,0.9517754083928397,0.81696053736356,0.879230108887182,0.81696053736356,0.04112445779112446,0.16437393260963795,0.9562230996739812
LSTM,-6.0,0.9556454977885338,0.9509779648427829,0.9608905937291528,0.9559085818573977,0.9608905937291528,0.04960748287957241,0.06940087559298276,0.9909961688171827
LSTM,-4.0,0.9740329884914205,0.9539097266369994,0.9962652502282348,0.9746275321722893,0.9962652502282348,0.048252911813643926,0.04452179030283347,0.999020713948272
LSTM,-2.0,0.9749896651508888,0.9543771176424237,0.9978579667160982,0.9756333319908171,0.9978579667160982,0.048041818785263854,0.04227526259904664,0.9996312185286836
LSTM,0.0,0.976896866949223,0.9579249342577097,0.9976761556975683,0.9773965363037646,0.9976761556975683,0.043937754847299657,0.03978737649358078,0.9995532513684569
LSTM,2.0,0.9738107077739102,0.9528145039980999,0.9970176455968851,0.9744150271233099,0.9970176455968851,0.04941547135395075,0.044135585890973446,0.9992331803020669
LSTM,4.0,0.9753739739155798,0.9561178731582319,0.9964115830760244,0.9758489640799314,0.9964115830760244,0.04560585885486019,0.04201659073704935,0.9992147664139822
LSTM,6.0,0.9771981559164348,0.958373129576568,0.9978453633877518,0.9777110145751289,0.9978453633877518,0.04354704412989176,0.03931046660012309,0.9994098382283706
LSTM,8.0,0.9732902847079542,0.9524682989074089,0.9965787716955942,0.9740243852709701,0.9965787716955942,0.050231774125579436,0.04350173095069078,0.9992455877396861
LSTM,10.0,0.974399732284782,0.9546108358638326,0.9963302752293578,0.975024485798237,0.9963302752293578,0.04766700234978181,0.0428804935942664,0.9990452839042046
LSTM,12.0,0.9757740585774058,0.9578897187351025,0.9959520859149112,0.9765501599773196,0.9959520859149112,0.04493429419245443,0.04114044750034361,0.9988672242086911
LSTM,14.0,0.9757228357076625,0.9574553643236288,0.9960676037483266,0.9763798901008776,0.9960676037483266,0.0449295056905045,0.040125208315541255,0.9990709966301988
LSTM,16.0,0.975509184055979,0.9559984057393384,0.9970072325214066,0.9760722715064702,0.9970072325214066,0.04607679465776294,0.04213354742447477,0.999084287262932
LSTM,18.0,0.9741653254095993,0.953515996198923,0.9967715231788079,0.974664076412498,0.9967715231788079,0.048308781170274054,0.043082990385001727,0.9990644421384118
GRU,-20.0,0.8456127206127206,0.9527750193092794,0.7246559248069822,0.8232041565374899,0.7246559248069822,0.03534852989758837,0.22107117251534672,0.9439397657570618
GRU,-18.0,0.8357674863729039,0.9475332811276429,0.7089052561098091,0.8110307846986163,0.7089052561098091,0.03880844021514274,0.23272779769704674,0.9394397374140515
GRU,-16.0,0.8359152570758667,0.9489624228827819,0.7094934585709494,0.8119391525505063,0.7094934585709494,0.03804347826086957,0.23245509633821576,0.9392970838723286
GRU,-14.0,0.8303672375528663,0.9507938295237023,0.7002819704760325,0.8065332632886002,0.7002819704760325,0.036961854013363785,0.23748228705559993,0.9354287350348867
GRU,-12.0,0.8328590869726586,0.9534438056588885,0.6991238221193585,0.8067146740426344,0.6991238221193585,0.033988972101061644,0.23904047522643668,0.9346568151716405
GRU,-10.0,0.8482288486470662,0.9535776997366111,0.7304749894913829,0.8272480601704194,0.7304749894913829,0.03520306258322237,0.22316609353845845,0.9364159193094928
GRU,-8.0,0.8866432337434095,0.9594527114750824,0.8066330814441646,0.8764311453724399,0.8066330814441646,0.0338672005338672,0.1674811402035649,0.9544118986044539
GRU,-6.0,0.9586080280397229,0.9621848739495799,0.9548032021347566,0.9584798258831408,0.9548032021347566,0.03758142642391849,0.06420907345188048,0.9908092471145787
GRU,-4.0,0.978520088080103,0.9624639076034649,0.9959332724707445,0.9789125912632052,0.9959332724707445,0.038935108153078206,0.03680872710105432,0.9993247276891684
GRU,-2.0,0.9794956593633733,0.9633078637376632,0.9971164936562861,0.9799206541980406,0.9971164936562861,0.03825091271158314,0.035545763124272885,0.9995727034883769
GRU,0.0,0.981176763899277,0.9662270826632358,0.9972611835007055,0.9814988768633858,0.9972611835007055,0.034950486810352004,0.033969680082543655,0.9995191267512531
GRU,2.0,0.978576164428974,0.9619382696305773,0.9966034297075635,0.9789640720999309,0.9966034297075635,0.03946604759141033,0.03673322095508456,0.9993575858768515
GRU,4.0,0.979999166631943,0.9647676767676767,0.9963281315196528,0.9802939486000493,0.9963281315196528,0.036284953395472705,0.03556907042191223,0.9992229754469076
GRU,6.0,0.9815591643477177,0.9668996545352294,0.9973481395541559,0.9818879007913845,0.9973481395541559,0.03430474604496253,0.03309031406916435,0.9994588912984932
GRU,8.0,0.979705648035557,0.9640839386602098,0.9967456608811749,0.9801427750882088,0.9967456608811749,0.03750526759376317,0.03589073847709314,0.999280765982681
GRU,10.0,0.9800886806659416,0.9653249272550921,0.9960800667222686,0.9804613742714063,0.9960800667222686,0.03600201409869084,0.03496791577597588,0.9990419802672081
GRU,12.0,0.9795397489539749,0.9653846153846154,0.9952912019826518,0.9801098230628432,0.9952912019826518,0.03662568885120814,0.03548595209428362,0.9989752446928712
GRU,14.0,0.9806541347045435,0.9663231356000974,0.9963186077643909,0.981091658084449,0.9963186077643909,0.035247154747749275,0.0340389477414336,0.9989938307672682
GRU,16.0,0.9810071223291266,0.9662396261381033,0.9969241000914457,0.981342062193126,0.9969241000914457,0.034974958263772955,0.03469287970570863,0.9991373240878227
GRU,18.0,0.9791176591968965,0.9632564841498559,0.9961092715231789,0.9794074556405665,0.9961092715231789,0.03777466875154308,0.03559746014948502,0.9990164396574887
CNN,-20.0,0.6368215118215118,0.9845126024901306,0.27207116482040955,0.42632651719376685,0.27207116482040955,0.00421209117938553,0.46941442826313,0.8437188104142276
CNN,-18.0,0.6352099196937544,0.986242739223479,0.2700033478406428,0.4239437545173796,0.2700033478406428,0.003723624327678941,0.4661671786257176,0.8491759941957835
CNN,-16.0,0.6432339641601071,0.9813295615275813,0.2909258638040926,0.44880005174978976,0.2909258638040926,0.005518394648829431,0.451906896882996,0.856364643999511
CNN,-14.0,0.6613625895063021,0.9874785170635895,0.33355448664786863,0.49866716260616206,0.33355448664786863,0.004313625983252981,0.42530605260073073,0.8671356613830188
CNN,-12.0,0.6896779248628809,0.9847360610557557,0.38394775996032404,0.552482902170681,0.38394775996032404,0.0059254382355361694,0.3915906579323595,0.8850978299066117
CNN,-10.0,0.7418761239596838,0.9900667922589484,0.48600252206809585,0.6519679711289049,0.48600252206809585,0.004826897470039946,0.33292751727632536,0.9059288575020331
CNN,-8.0,0.8204033810360699,0.9930106135128138,0.6441645675902603,0.7814218781829293,0.6441645675902603,0.0045045045045045045,0.2374981940237148,0.9463178543783077
CNN,-6.0,0.9476758741550529,0.9950212059745528,0.8999332888592395,0.9450915141430949,0.8999332888592395,0.004509771170870219,0.0929121364658207,0.9885176081420797
CNN,-4.0,0.9930616145249076,0.9942595673876872,0.991866544941489,0.9930616145249076,0.991866544941489,0.005740432612312812,0.03426920608598382,0.9983126305246367
CNN,-2.0,0.99450186027284,0.9950515463917525,0.993985829625968,0.9945184025058731,0.993985829625968,0.004978426817125788,0.03182223472219535,0.998788010645581
