Model,SNR,accuracy,precision,recall,f1,pd,pfa,nmse,auc
LSTM,-20.0,0.5003054367745876,0.5121951219512195,0.02564102564102564,0.04883720930232558,0.02564102564102564,0.02444987775061125,0.6589270406465927,0.5066125127249821
LSTM,-18.0,0.5078125,0.5609756097560976,0.027912621359223302,0.05317919075144509,0.027912621359223302,0.02142857142857143,0.6483361911231944,0.5410569810448451
LSTM,-16.0,0.5109922756981581,0.711864406779661,0.049528301886792456,0.0926130099228225,0.049528301886792456,0.02035928143712575,0.6296107393119141,0.5624449214777991
LSTM,-14.0,0.5403022670025189,0.8333333333333334,0.11221945137157108,0.1978021978021978,0.11221945137157108,0.022900763358778626,0.5708687275855623,0.6863962866370968
LSTM,-12.0,0.6461256863941428,0.9291044776119403,0.3074074074074074,0.4619666048237477,0.3074074074074074,0.022919179734620022,0.45337814752397143,0.8135400378263266
LSTM,-10.0,0.826036866359447,0.9706896551724138,0.6639150943396226,0.788515406162465,0.6639150943396226,0.019144144144144143,0.25257535669161185,0.9360830464898862
LSTM,-8.0,0.9249848759830611,0.9659863945578231,0.8776266996291718,0.9196891191709845,0.8776266996291718,0.02962085308056872,0.12525526074259155,0.9888751545117428
LSTM,-6.0,0.9873111782477342,0.9848130841121495,0.9905992949471211,0.9876977152899824,0.9905992949471211,0.01616915422885572,0.06270783686446792,0.9994431485346476
LSTM,-4.0,0.9891788669637174,0.97875,1.0,0.9892608970309539,1.0,0.021573604060913704,0.0624943816912366,0.9995980577111332
LSTM,-2.0,0.9891172914147521,0.9790454016298021,1.0,0.9894117647058823,1.0,0.02214022140221402,0.06149416363846898,0.9997403957392725
LSTM,0.0,0.9893416927899686,0.9794437726723095,1.0,0.9896151496640195,1.0,0.02165605095541401,0.05886332587249726,0.9997672407014233
LSTM,2.0,0.9859670530811471,0.9729411764705882,1.0,0.9862850327966607,1.0,0.02832512315270936,0.06714924671130817,0.999827258593885
LSTM,4.0,0.9870769230769231,0.9749702026221693,1.0,0.9873264936632469,1.0,0.026022304832713755,0.06447283883804054,0.999824275971557
LSTM,6.0,0.9879518072289156,0.9769696969696969,1.0,0.9883507050889025,1.0,0.02464332036316472,0.06016756637164915,0.9993482731652683
LSTM,8.0,0.9969059405940595,0.9939246658566221,1.0,0.9969530773918343,1.0,0.006265664160401002,0.05136745523809791,1.0
LSTM,10.0,0.9926244622003688,0.9852760736196319,1.0,0.992583436341162,1.0,0.014563106796116505,0.05985417854386473,0.9998987413703466
LSTM,12.0,0.9944649446494465,0.9890643985419199,1.0,0.9945021380574222,1.0,0.011083743842364532,0.056029342009847924,0.999114934459762
LSTM,14.0,0.9917355371900827,0.9832134292565947,1.0,0.9915356711003628,1.0,0.016018306636155607,0.06162781093301495,0.9998883741697829
LSTM,16.0,0.991108476585655,0.9820574162679426,1.0,0.9909474954737477,1.0,0.017321016166281754,0.061387458010607986,1.0
LSTM,18.0,0.98854041013269,0.977803738317757,1.0,0.9887773183697578,1.0,0.023142509135200974,0.060132428521661244,0.9993888037579838
LSTM,20.0,0.9869565217391304,0.9746070133010882,1.0,0.9871402327005512,1.0,0.026119402985074626,0.060465198823975566,0.999569460390356
LSTM,22.0,0.9869077306733167,0.9743276283618582,1.0,0.9869969040247678,1.0,0.026022304832713755,0.06368483335454901,0.9998554057268662
LSTM,24.0,0.9861373660995589,0.973170731707317,1.0,0.9864029666254636,1.0,0.02788339670468948,0.06299058702745858,0.9997125259282553
LSTM,26.0,0.9920924574209246,0.9839506172839506,1.0,0.9919103920348475,1.0,0.015348288075560802,0.06101726165903557,1.0
LSTM,28.0,0.9890560875512996,0.9778393351800554,1.0,0.988795518207283,1.0,0.021164021164021163,0.06750254156609009,0.9999025735569644
GRU,-20.0,0.499083689676237,0.47368421052631576,0.01098901098901099,0.021479713603818614,0.01098901098901099,0.012224938875305624,0.7487050767825186,0.5015434171913389
GRU,-18.0,0.5114182692307693,0.6896551724137931,0.024271844660194174,0.04689331770222743,0.024271844660194174,0.010714285714285714,0.7276537400229629,0.5594197873324087
GRU,-16.0,0.5092097445038621,0.72,0.04245283018867924,0.0801781737193764,0.04245283018867924,0.016766467065868262,0.6960454041107488,0.6030095469438481
GRU,-14.0,0.5491183879093199,0.9215686274509803,0.1172069825436409,0.2079646017699115,0.1172069825436409,0.010178117048346057,0.6059549184797988,0.7422410893884881
GRU,-12.0,0.687614399023795,0.9715189873417721,0.3790123456790123,0.5452930728241563,0.3790123456790123,0.010856453558504222,0.3949914450277875,0.9072406141565772
GRU,-10.0,0.9308755760368663,0.9932249322493225,0.8643867924528302,0.9243379571248423,0.8643867924528302,0.00563063063063063,0.11201412571761378,0.9936894441611424
GRU,-8.0,0.9903206291591047,0.9829476248477467,0.9975278121137207,0.9901840490797545,0.9975278121137207,0.016587677725118485,0.03354621601713321,0.9999062677578663
GRU,-6.0,0.9957703927492447,0.9918414918414918,1.0,0.9959040374488005,1.0,0.008706467661691543,0.02603525166225055,1.0
GRU,-4.0,0.9955442393380013,0.9911392405063291,1.0,0.9955499046408137,1.0,0.008883248730964468,0.026682273195109376,1.0
GRU,-2.0,0.9957678355501813,0.9917452830188679,1.0,0.9958555358200119,1.0,0.008610086100861008,0.027556920494217207,1.0
GRU,0.0,0.9943573667711598,0.989010989010989,1.0,0.994475138121547,1.0,0.011464968152866241,0.029344647214162155,1.0
GRU,2.0,0.9945088468578401,0.9892344497607656,1.0,0.994588093806374,1.0,0.011083743842364532,0.030002307162629933,1.0
GRU,4.0,0.9963076923076923,0.9927184466019418,1.0,0.9963459196102314,1.0,0.007434944237918215,0.02687521301481839,1.0
GRU,6.0,0.9961953075459734,0.9926108374384236,1.0,0.9962917181705809,1.0,0.007782101167315175,0.02905385392453034,1.0
